tas,	Year, Month, Country
24.6882,1922,10,154.45
21.9891,1922,11,148.52
20.0261,1922,12,63.0568
20.0508,1923,1,23.836
20.1509,1923,2,17.9395
22.7063,1923,3,38.0408
25.103,1923,4,111.672
26.2262,1923,5,177.523
26.584,1923,6,284.311
26.6768,1923,7,243.543
26.3067,1923,8,261.543
26.2835,1923,9,242.814
24.8983,1923,10,243.241
23.3649,1923,11,140.774
21.0676,1923,12,60.634
20.4724,1924,1,75.3609
20.9607,1924,2,16.0587
22.3698,1924,3,33.8549
25.2037,1924,4,63.8053
27.4779,1924,5,185.087
27.1136,1924,6,294.418
26.5077,1924,7,348.074
26.8958,1924,8,307.497
26.8418,1924,9,180.908
24.6827,1924,10,221.077
22.9255,1924,11,84.6819
20.0691,1924,12,35.7835
18.9411,1925,1,30.9026
19.2842,1925,2,6.90479
21.9655,1925,3,87.2118
23.7746,1925,4,80.6658
26.9247,1925,5,168.791
26.9689,1925,6,240.679
27.1998,1925,7,258.031
27.2379,1925,8,190.62
26.3273,1925,9,251.569
24.1456,1925,10,176.49
23.0768,1925,11,112.602
19.7553,1925,12,52.3399
20.0756,1926,1,20.9913
20.6115,1926,2,34.6956
22.0303,1926,3,53.8812
26.0876,1926,4,42.5275
27.571,1926,5,126.572
27.0669,1926,6,294.301
27.279,1926,7,293.742
26.6134,1926,8,345.663
26.5832,1926,9,304.312
23.9948,1926,10,233.424
22.8009,1926,11,126.608
20.6531,1926,12,78.2989
19.9111,1927,1,10.4273
20.4462,1927,2,36.0575
21.9545,1927,3,34.6698
24.5236,1927,4,99.8502
26.5067,1927,5,201.222
27.1421,1927,6,261.271
27.1265,1927,7,294.837
27.0664,1927,8,259.195
25.8663,1927,9,278.555
24.4299,1927,10,290.49
23.2177,1927,11,118.582
21.5092,1927,12,41.2015
21.6696,1928,1,11.933
19.9237,1928,2,74.4238
23.2143,1928,3,22.9793
25.4788,1928,4,75.3933
27.3239,1928,5,221.521
26.9926,1928,6,218.528
27.3613,1928,7,269.136
27.1713,1928,8,310.459
26.4035,1928,9,224.501
23.1739,1928,10,170.813
21.6339,1928,11,118.471
21.6945,1928,12,37.7867
21.1592,1929,1,32.5601
21.159,1929,2,51.1332
21.7178,1929,3,35.4047
24.7681,1929,4,65.4184
28.0372,1929,5,197.306
27.5993,1929,6,212.383
27.1015,1929,7,307.946
27.1095,1929,8,246.803
26.1626,1929,9,304.67
24.8516,1929,10,207.602
21.9665,1929,11,96.4646
21.83,1929,12,123.939
17.9775,1930,1,20.1321
20.843,1930,2,45.9573
21.1637,1930,3,42.8068
26.5406,1930,4,94.6376
26.97,1930,5,220.309
27.5333,1930,6,214.669
27.3791,1930,7,234.358
27.0379,1930,8,231.557
25.8204,1930,9,220.743
24.8271,1930,10,123.011
23.0156,1930,11,170.344
21.3176,1930,12,49.5406
20.7358,1931,1,34.456
22.4036,1931,2,31.5782
23.5093,1931,3,20.5265
27.3651,1931,4,44.7925
27.9734,1931,5,141.451
28.2249,1931,6,235.028
27.3724,1931,7,248.834
27.4723,1931,8,276.803
26.1062,1931,9,246.852
23.3562,1931,10,182.984
22.1705,1931,11,85.587
20.6232,1931,12,50.3756
18.9438,1932,1,10.0511
19.4223,1932,2,38.0725
21.1113,1932,3,36.6421
25.7433,1932,4,84.244
28.1548,1932,5,132.375
27.6412,1932,6,204.775
26.9798,1932,7,259.478
27.345,1932,8,258.888
25.5666,1932,9,274.263
24.0112,1932,10,333.088
22.6985,1932,11,95.6466
19.7984,1932,12,37.1543
17.8952,1933,1,35.3956
21.1641,1933,2,29.4036
22.0227,1933,3,39.3073
26.629,1933,4,55.1317
27.1658,1933,5,173.753
27.8508,1933,6,174.35
27.0913,1933,7,263.296
27.0242,1933,8,218.072
26.472,1933,9,244.022
24.3924,1933,10,252.071
22.1385,1933,11,206.402
21.6002,1933,12,29.0882
17.9604,1934,1,11.8828
20.708,1934,2,56.3923
21.8809,1934,3,43.3529
24.4243,1934,4,60.5347
27.2684,1934,5,116.22
27.1547,1934,6,231.59
26.9375,1934,7,319.73
26.9232,1934,8,328.396
26.5738,1934,9,257.08
23.4867,1934,10,191.179
22.6142,1934,11,213.371
20.825,1934,12,57.9454
20.4565,1935,1,19.6565
21.6425,1935,2,39.9791
23.2669,1935,3,14.7121
25.8311,1935,4,43.9029
27.0002,1935,5,195.616
27.4898,1935,6,183.27
27.2227,1935,7,314.222
27.0409,1935,8,190.551
25.6769,1935,9,240.601
25.4572,1935,10,173.593
23.4926,1935,11,213.276
19.6739,1935,12,112.612
18.4575,1936,1,27.4304
20.9412,1936,2,24.1959
20.1724,1936,3,37.9357
25.834,1936,4,37.8698
26.8647,1936,5,152.429
27.1557,1936,6,216.941
27.0363,1936,7,237.367
26.7778,1936,8,346.019
25.8206,1936,9,255.869
23.6201,1936,10,150.765
23.2127,1936,11,80.9889
21.5663,1936,12,72.2895
20.2019,1937,1,41.7636
21.2271,1937,2,53.3205
23.4146,1937,3,11.2434
26.1427,1937,4,53.9171
26.7551,1937,5,193.068
27.1068,1937,6,188.31
26.9922,1937,7,246.202
26.7505,1937,8,321.046
26.1223,1937,9,278.324
24.8498,1937,10,143.887
22.7203,1937,11,110.772
21.4383,1937,12,63.3307
20.319,1938,1,14.5836
20.8241,1938,2,20.9255
21.4985,1938,3,15.827
25.4814,1938,4,60.4361
26.379,1938,5,146.007
27.2996,1938,6,214.523
26.5803,1938,7,252.637
26.6128,1938,8,280.744
26.1981,1938,9,288.84
24.6157,1938,10,299.608
22.0246,1938,11,76.2557
21.2453,1938,12,43.5625
19.985,1939,1,17.223
21.2525,1939,2,31.9604
22.6728,1939,3,36.8148
24.6746,1939,4,52.3682
26.7349,1939,5,129.439
26.9823,1939,6,195.422
27.154,1939,7,311.489
26.8794,1939,8,330.333
25.7482,1939,9,325.138
24.9427,1939,10,149.853
23.3696,1939,11,164.525
18.3399,1939,12,28.0971
18.6491,1940,1,7.3929
21.0729,1940,2,15.3306
22.2624,1940,3,29.6858
24.9987,1940,4,48.388
26.7184,1940,5,165.559
27.4059,1940,6,197.674
27.4297,1940,7,293.258
26.715,1940,8,260.936
26.6463,1940,9,304.948
25.4413,1940,10,169.959
22.9433,1940,11,204.95
22.018,1940,12,40.7774
22.4625,1941,1,9.91701
22.5177,1941,2,27.1684
22.9915,1941,3,28.7968
25.7081,1941,4,68.2371
